
new data
train
0212: pos_pair = 29, neg_pair = 1147
0872: pos_pair = 29, neg_pair = 1052
0770: pos_pair = 15, neg_pair = 336
[0, 0, 1, 2, 2, 2, 3, 3, 4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 10, 8, 6, 1, 7, 4, 12, 9, 11]
1323: pos_pair = 21, neg_pair = 840
0179: pos_pair = 52, neg_pair = 2433
0713: pos_pair = 22, neg_pair = 573
0018: pos_pair = 36, neg_pair = 1449
0769: pos_pair = 98, neg_pair = 2113
1084: pos_pair = 23, neg_pair = 880
1379: pos_pair = 77, neg_pair = 1693
1154: pos_pair = 26, neg_pair = 877
1227: pos_pair = 48, neg_pair = 1782
0603: pos_pair = 15, neg_pair = 261
[0, 0, 1, 2, 2, 2, 3, 4, 5, 6, 6, 6, 7, 7, 8, 8, 9, 10, 10, 1, 5, 4, 3, 9]
0246: pos_pair = 84, neg_pair = 1869
0991: pos_pair = 44, neg_pair = 1552
0997: pos_pair = 50, neg_pair = 2296
0099: pos_pair = 38, neg_pair = 628
1125: pos_pair = 66, neg_pair = 2784
0472: pos_pair = 16, neg_pair = 260
0728: pos_pair = 36, neg_pair = 1290
1088: pos_pair = 167, neg_pair = 1159
1037: pos_pair = 40, neg_pair = 1851
0428: pos_pair = 32, neg_pair = 634
0352: pos_pair = 38, neg_pair = 2042
0064: pos_pair = 55, neg_pair = 648
0664: pos_pair = 26, neg_pair = 1009
0547: pos_pair = 42, neg_pair = 1336
0654: pos_pair = 52, neg_pair = 768
0878: pos_pair = 10, neg_pair = 126
[0, 1, 1, 2, 3, 3, 4, 5, 6, 6, 6, 7, 5, 4, 2, 0, 7]
1225: pos_pair = 40, neg_pair = 863
0059: pos_pair = 16, neg_pair = 480
0326: pos_pair = 23, neg_pair = 757
1122: pos_pair = 39, neg_pair = 1236
0804: pos_pair = 57, neg_pair = 1896
0185: pos_pair = 22, neg_pair = 573
0266: pos_pair = 53, neg_pair = 1075
0120: pos_pair = 33, neg_pair = 1398
1036: pos_pair = 29, neg_pair = 712
0900: pos_pair = 23, neg_pair = 1012
0613: pos_pair = 59, neg_pair = 607
1274: pos_pair = 48, neg_pair = 1080
1035: pos_pair = 15, neg_pair = 420
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 9, 8, 12, 11, 7, 3, 1, 6, 0, 2, 4, 13, 14, 10, 5]
1284: pos_pair = 39, neg_pair = 822
0761: pos_pair = 11, neg_pair = 220
[0, 1, 2, 3, 3, 4, 4, 5, 5, 6, 7, 7, 8, 9, 10, 10, 2, 1, 9, 8, 0, 6]
0104: pos_pair = 294, neg_pair = 1597
1128: pos_pair = 69, neg_pair = 2416
0293: pos_pair = 34, neg_pair = 1001
0062: pos_pair = 111, neg_pair = 1659
0224: pos_pair = 27, neg_pair = 1404
0712: pos_pair = 27, neg_pair = 753
1095: pos_pair = 67, neg_pair = 1703
1510: pos_pair = 51, neg_pair = 1275
0527: pos_pair = 62, neg_pair = 1369
0539: pos_pair = 41, neg_pair = 662
0867: pos_pair = 18, neg_pair = 510
0161: pos_pair = 25, neg_pair = 716
0020: pos_pair = 34, neg_pair = 2244
test
1317: pos_pair = 34, neg_pair = 431
0905: pos_pair = 24, neg_pair = 1104
1239: pos_pair = 56, neg_pair = 505
1028: pos_pair = 32, neg_pair = 598
0189: pos_pair = 21, neg_pair = 720
0152: pos_pair = 35, neg_pair = 1093
1069: pos_pair = 43, neg_pair = 1133
0039: pos_pair = 167, neg_pair = 1159
0944: pos_pair = 74, neg_pair = 3007
0785: pos_pair = 56, neg_pair = 1429
0588: pos_pair = 35, neg_pair = 2176
0218: pos_pair = 36, neg_pair = 954
0642: pos_pair = 61, neg_pair = 974
0109: pos_pair = 24, neg_pair = 642
1075: pos_pair = 35, neg_pair = 1505
0663: pos_pair = 41, neg_pair = 1337
1401: pos_pair = 34, neg_pair = 1094
1538: pos_pair = 27, neg_pair = 1101
0353: pos_pair = 28, neg_pair = 1197
0675: pos_pair = 57, neg_pair = 1539
0494: pos_pair = 50, neg_pair = 1225
0057: pos_pair = 39, neg_pair = 1977
0245: pos_pair = 23, neg_pair = 880
0302: pos_pair = 28, neg_pair = 1053
0429: pos_pair = 32, neg_pair = 871
1330: pos_pair = 87, neg_pair = 1624
1326: pos_pair = 23, neg_pair = 880
0519: pos_pair = 21, neg_pair = 720
0854: pos_pair = 22, neg_pair = 413
0316: pos_pair = 35, neg_pair = 1618
0742: pos_pair = 29, neg_pair = 1052
0382: pos_pair = 113, neg_pair = 2588
0819: pos_pair = 70, neg_pair = 1883
0090: pos_pair = 57, neg_pair = 1374
1368: pos_pair = 108, neg_pair = 1218
0792: pos_pair = 316, neg_pair = 1962
0311: pos_pair = 47, neg_pair = 814
0744: pos_pair = 64, neg_pair = 1476
1001: pos_pair = 53, neg_pair = 1543
0385: pos_pair = 37, neg_pair = 909
1153: pos_pair = 40, neg_pair = 2040
1506: pos_pair = 45, neg_pair = 1083
0963: pos_pair = 26, neg_pair = 1009
0880: pos_pair = 47, neg_pair = 1129
0964: pos_pair = 27, neg_pair = 1404
1079: pos_pair = 24, neg_pair = 837
1214: pos_pair = 41, neg_pair = 1135
1490: pos_pair = 51, neg_pair = 1125
0579: pos_pair = 37, neg_pair = 998
1398: pos_pair = 94, neg_pair = 2117
0691: pos_pair = 81, neg_pair = 585
0715: pos_pair = 32, neg_pair = 788
0354: pos_pair = 13, neg_pair = 312
[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 11, 12, 12, 7, 3, 1, 0, 2, 9, 5, 6, 4]
1383: pos_pair = 37, neg_pair = 2043
1175: pos_pair = 61, neg_pair = 2217
0299: pos_pair = 103, neg_pair = 1667
0322: pos_pair = 21, neg_pair = 414
0100: pos_pair = 35, neg_pair = 2380
1068: pos_pair = 18, neg_pair = 282
0605: pos_pair = 30, neg_pair = 1401
0684: pos_pair = 28, neg_pair = 602
1348: pos_pair = 63, neg_pair = 1477
1248: pos_pair = 62, neg_pair = 2566
0576: pos_pair = 32, neg_pair = 871
1500: pos_pair = 24, neg_pair = 966
0338: pos_pair = 23, neg_pair = 1012
0969: pos_pair = 33, neg_pair = 597
1494: pos_pair = 14, neg_pair = 217
[0, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6, 7, 7, 8, 9, 1, 8, 5, 9, 0]
0406: pos_pair = 42, neg_pair = 1911
1551: pos_pair = 50, neg_pair = 940
0668: pos_pair = 79, neg_pair = 3081
0670: pos_pair = 43, neg_pair = 1182
0325: pos_pair = 71, neg_pair = 1469
1025: pos_pair = 73, neg_pair = 3087
0534: pos_pair = 35, neg_pair = 1450
1199: pos_pair = 50, neg_pair = 1903
0127: pos_pair = 30, neg_pair = 790
1544: pos_pair = 15, neg_pair = 420
[0, 1, 2, 3, 4, 4, 5, 6, 6, 7, 8, 8, 9, 10, 11, 12, 13, 14, 13, 7, 5, 1, 2, 3, 10, 14, 11, 9, 12, 0]
1130: pos_pair = 16, neg_pair = 390
0075: pos_pair = 18, neg_pair = 417
0438: pos_pair = 52, neg_pair = 894
0021: pos_pair = 50, neg_pair = 545
0278: pos_pair = 58, neg_pair = 722
1328: pos_pair = 20, neg_pair = 646
0516: pos_pair = 27, neg_pair = 963
1489: pos_pair = 56, neg_pair = 1270
0528: pos_pair = 66, neg_pair = 837
0635: pos_pair = 37, neg_pair = 1448
0141: pos_pair = 62, neg_pair = 1649
1185: pos_pair = 30, neg_pair = 673
0190: pos_pair = 35, neg_pair = 1505
0076: pos_pair = 17, neg_pair = 544
1268: pos_pair = 66, neg_pair = 1704
1409: pos_pair = 45, neg_pair = 3195
0383: pos_pair = 82, neg_pair = 2844
0800: pos_pair = 24, neg_pair = 756
1167: pos_pair = 36, neg_pair = 744
0957: pos_pair = 55, neg_pair = 935
0038: pos_pair = 21, neg_pair = 150
0010: pos_pair = 20, neg_pair = 646
0165: pos_pair = 29, neg_pair = 566
0569: pos_pair = 22, neg_pair = 798
0660: pos_pair = 79, neg_pair = 1517
1218: pos_pair = 84, neg_pair = 2061
0941: pos_pair = 55, neg_pair = 1271
0115: pos_pair = 21, neg_pair = 840
1203: pos_pair = 27, neg_pair = 876
0490: pos_pair = 28, neg_pair = 468
1388: pos_pair = 36, neg_pair = 1617
0297: pos_pair = 103, neg_pair = 2243
0870: pos_pair = 28, neg_pair = 792
0583: pos_pair = 74, neg_pair = 2204
0564: pos_pair = 50, neg_pair = 2296
0453: pos_pair = 42, neg_pair = 1284
0308: pos_pair = 105, neg_pair = 2241
0990: pos_pair = 56, neg_pair = 1169
0850: pos_pair = 25, neg_pair = 921
0181: pos_pair = 65, neg_pair = 530
0431: pos_pair = 23, neg_pair = 880
0444: pos_pair = 73, neg_pair = 2138
0575: pos_pair = 71, neg_pair = 1759
0629: pos_pair = 64, neg_pair = 1314
0028: pos_pair = 19, neg_pair = 684
0496: pos_pair = 28, neg_pair = 713
1566: pos_pair = 17, neg_pair = 448
1210: pos_pair = 26, neg_pair = 794
0157: pos_pair = 33, neg_pair = 1143
0270: pos_pair = 22, neg_pair = 681
0011: pos_pair = 23, neg_pair = 328
0420: pos_pair = 53, neg_pair = 1543
1041: pos_pair = 27, neg_pair = 1101
1436: pos_pair = 34, neg_pair = 2046
1177: pos_pair = 64, neg_pair = 2282
0709: pos_pair = 37, neg_pair = 743
0541: pos_pair = 54, neg_pair = 1899
1027: pos_pair = 47, neg_pair = 1549
0809: pos_pair = 22, neg_pair = 924
1400: pos_pair = 26, neg_pair = 439
0506: pos_pair = 36, neg_pair = 999
1485: pos_pair = 68, neg_pair = 1885
0986: pos_pair = 26, neg_pair = 754
0336: pos_pair = 86, neg_pair = 2840
1207: pos_pair = 41, neg_pair = 905
1404: pos_pair = 50, neg_pair = 1841
0966: pos_pair = 29, neg_pair = 674
0097: pos_pair = 18, neg_pair = 282
1160: pos_pair = 37, neg_pair = 743
1050: pos_pair = 129, neg_pair = 2016
0778: pos_pair = 70, neg_pair = 920
0375: pos_pair = 43, neg_pair = 623
1103: pos_pair = 86, neg_pair = 1684
0203: pos_pair = 67, neg_pair = 2489
1169: pos_pair = 54, neg_pair = 1716
1488: pos_pair = 59, neg_pair = 1711
1479: pos_pair = 26, neg_pair = 920
1184: pos_pair = 77, neg_pair = 2551
0681: pos_pair = 61, neg_pair = 1650
0502: pos_pair = 49, neg_pair = 2096

new data
train
0212, 29, 1147
39.55172413793103
0110, 106, 2172
20.49056603773585
0915, 29, 1456
50.206896551724135
0443, 60, 1956
32.6
1484, 60, 975
16.25
0677, 43, 453
10.534883720930232
1386, 35, 1190
34.0
0413, 36, 1140
31.666666666666668
0098, 24, 537
22.375
0993, 54, 1272
23.555555555555557
0016, 23, 572
24.869565217391305
0845, 86, 2764
32.13953488372093
0701, 97, 849
8.75257731958763
0175, 64, 1647
25.734375
1502, 15, 420
28.0
[0, 1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 2, 9, 13, 10, 7, 5, 12, 8, 14, 11, 4, 6, 0, 1]
1349, 42, 1389
33.07142857142857
1134, 27, 639
23.666666666666668
0627, 33, 670
20.303030303030305
1212, 58, 1427
24.603448275862068
0488, 23, 355
15.434782608695652
0410, 16, 390
24.375
1546, 19, 684
36.0
0570, 86, 1684
19.58139534883721
0737, 39, 1731
44.38461538461539
0061, 23, 1012
44.0
1574, 32, 1193
37.28125
0001, 73, 1943
26.616438356164384
0153, 44, 1909
43.38636363636363
0132, 35, 745
21.285714285714285
1000, 148, 2702
18.256756756756758
0394, 88, 1290
14.659090909090908
0201, 27, 438
16.22222222222222
0156, 60, 1425
23.75
0548, 35, 706
20.17142857142857
1183, 42, 1849
44.023809523809526
0983, 23, 1012
44.0
0517, 55, 473
8.6
1234, 24, 276
11.5
1221, 82, 2474
30.170731707317074
0012, 36, 1449
40.25
0295, 35, 1141
32.6
0071, 52, 1601
30.78846153846154
1548, 17, 544
32.0
1286, 36, 867
24.083333333333332
0807, 37, 824
22.27027027027027
1148, 58, 1595
27.5
1520, 65, 1646
25.323076923076922
0262, 49, 1176
24.0
0856, 14, 286
20.428571428571427
[0, 1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 8, 8, 9, 10, 11, 9, 10, 7, 11, 0, 6, 3, 1, 2]
1115, 220, 1158
5.263636363636364
0919, 14, 364
26.0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 12, 10, 13, 8, 0, 4, 2, 6, 11, 7, 1, 5, 3, 9]
1448, 59, 437
7.406779661016949
0400, 65, 881
13.553846153846154
0883, 47, 1331
28.319148936170212
0499, 29, 917
31.620689655172413
0048, 69, 3672
53.21739130434783
0412, 62, 928
14.96774193548387
0558, 43, 1335
31.046511627906977
1381, 29, 377
13.0
0126, 50, 2095
41.9
1233, 39, 1287
33.0
1415, 40, 2445
61.125
1418, 37, 1733
46.83783783783784
0042, 11, 160
14.545454545454545
[0, 0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 5, 3, 4, 7, 2, 8, 6]
1283, 16, 309
19.3125
1450, 53, 1543
29.11320754716981
0319, 23, 538
23.391304347826086
1468, 41, 1670
40.73170731707317
0591, 36, 1560
43.333333333333336
1226, 21, 840
40.0
0036, 303, 2043
6.742574257425742
0520, 24, 1104
46.0
1531, 87, 774
8.89655172413793
0835, 18, 510
28.333333333333332
0973, 9, 144
16.0
[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 7, 8, 6, 8, 3, 7]
0264, 49, 2579
52.63265306122449
1316, 32, 1453
45.40625
0381, 36, 1449
40.25
0896, 23, 757
32.91304347826087
1321, 62, 1163
18.758064516129032
0587, 66, 795
12.045454545454545
0389, 48, 3522
73.375
1276, 23, 757
32.91304347826087
1099, 54, 1027
19.01851851851852
0122, 37, 783
21.16216216216216
0049, 24, 1104
46.0
0702, 75, 2851
38.013333333333335
1540, 33, 1563
47.36363636363637
0145, 9, 144
16.0
[0, 0, 1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 4, 1, 2, 6, 3, 8]
1052, 60, 1651
27.516666666666666
0873, 32, 1049
32.78125
1339, 16, 390
24.375
0303, 29, 532
18.344827586206897
0247, 55, 2646
48.10909090909091
1224, 58, 2357
40.63793103448276
1449, 33, 913
27.666666666666668
0592, 62, 2353
37.95161290322581
0740, 13, 240
18.46153846153846
[0, 1, 1, 1, 2, 2, 3, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 10, 3, 0, 7, 9, 4]
0192, 31, 1244
40.12903225806452
0710, 23, 643
27.956521739130434
1247, 20, 541
27.05
1471, 54, 1837
34.01851851851852
1012, 19, 684
36.0
1446, 34, 827
24.323529411764707
0869, 20, 386
19.3
1279, 58, 1268
21.862068965517242
0343, 50, 1175
23.5
0066, 116, 2512
21.655172413793103
0874, 41, 739
18.024390243902438
1085, 59, 1319
22.35593220338983
0468, 141, 2137
15.156028368794326
0610, 65, 2861
44.01538461538462
0479, 31, 1050
33.87096774193548
0849, 98, 1732
17.6734693877551
0682, 44, 1282
29.136363636363637
0386, 59, 844
14.305084745762711
0358, 33, 1920
58.18181818181818
1273, 20, 211
10.55
1476, 40, 1185
29.625
1288, 24, 276
11.5
1021, 24, 382
15.916666666666666
0243, 30, 1566
52.2
1564, 60, 570
9.5
0655, 23, 1012
44.0
1126, 23, 757
32.91304347826087
0512, 44, 1181
26.84090909090909
0101, 24, 1104
46.0
0147, 92, 1988
21.608695652173914
0806, 69, 1156
16.753623188405797
1392, 33, 1563
47.36363636363637
0741, 74, 1637
22.12162162162162
0380, 85, 1685
19.823529411764707
0821, 28, 1197
42.75
1361, 49, 3111
63.48979591836735
1522, 84, 1092
13.0
0198, 18, 333
18.5
0546, 42, 993
23.642857142857142
0859, 22, 573
26.045454545454547
0078, 34, 2244
66.0
1407, 31, 564
18.193548387096776
1004, 42, 1389
33.07142857142857
1464, 73, 3248
44.49315068493151
0258, 24, 606
25.25
0687, 47, 943
20.06382978723404
1217, 17, 308
18.11764705882353
0108, 27, 1404
52.0
1497, 15, 420
28.0
[0, 0, 1, 2, 2, 3, 4, 4, 5, 6, 7, 8, 8, 9, 9, 10, 11, 12, 12, 13, 13, 14, 14, 3, 11, 10, 1, 5, 7, 6]
0980, 49, 1079
22.020408163265305
0892, 22, 681
30.954545454545453
1384, 16, 480
30.0
0423, 41, 1040
25.365853658536587
0233, 51, 1965
38.529411764705884
0891, 98, 1855
18.928571428571427
0172, 78, 868
11.128205128205128
1455, 45, 1281
28.466666666666665
0724, 55, 1121
20.381818181818183
1315, 32, 199
6.21875
0026, 35, 631
18.02857142857143
1090, 59, 3101
52.559322033898304
1053, 19, 477
25.105263157894736
0689, 83, 2332
28.096385542168676
1006, 27, 876
32.44444444444444
1195, 87, 2994
34.41379310344828
0341, 19, 576
30.31578947368421
1332, 48, 942
19.625
1092, 22, 798
36.27272727272727
0976, 44, 586
13.318181818181818
0529, 45, 2035
45.22222222222222
0904, 40, 1235
30.875
1074, 98, 2248
22.93877551020408
0176, 20, 760
38.0
1149, 15, 336
22.4
[0, 0, 1, 2, 3, 4, 5, 6, 6, 6, 7, 8, 9, 10, 11, 11, 12, 12, 9, 10, 8, 4, 7, 3, 5, 1, 2]
1120, 95, 3226
33.95789473684211
1533, 17, 448
26.352941176470587
0411, 122, 2089
17.12295081967213
0217, 22, 924
42.0
0362, 45, 1971
43.8
0260, 38, 1447
38.078947368421055
0205, 19, 477
25.105263157894736
1499, 27, 1404
52.0
1552, 45, 1281
28.466666666666665
1318, 91, 1925
21.153846153846153
0933, 68, 2077
30.544117647058822
1373, 16, 480
30.0
0789, 84, 2766
32.92857142857143
1046, 50, 1661
33.22
0315, 51, 2577
50.529411764705884
0561, 111, 2590
23.333333333333332
0782, 52, 2504
48.15384615384615
0911, 59, 1022
17.322033898305083
0169, 31, 789
25.451612903225808
0089, 48, 1278
26.625
1433, 38, 952
25.05263157894737
0927, 84, 997
11.869047619047619
0446, 63, 678
10.761904761904763
0784, 49, 1491
30.428571428571427
0978, 54, 2721
50.388888888888886
0803, 75, 2481
33.08
0515, 26, 1009
38.80769230769231
0088, 73, 1152
15.780821917808218
0641, 34, 1397
41.088235294117645
0269, 65, 2420
37.23076923076923
0237, 25, 795
31.8
1304, 40, 1500
37.5
1465, 108, 2667
24.694444444444443
1460, 29, 499
17.20689655172414
1377, 31, 1347
43.45161290322581
0662, 35, 1450
41.42857142857143
1430, 81, 3322
41.01234567901235
0972, 27, 963
35.666666666666664
0686, 44, 1609
36.56818181818182
0802, 54, 1272
23.555555555555557
1414, 16, 480
30.0
0617, 55, 1170
21.272727272727273
0550, 15, 261
17.4
[0, 0, 0, 1, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 7, 8, 9, 10, 1, 5, 2, 10, 8, 9]
0077, 76, 1005
13.223684210526315
1188, 57, 1168
20.49122807017544
0040, 35, 1981
56.6
0584, 39, 1731
44.38461538461539
1353, 48, 987
20.5625
1164, 17, 308
18.11764705882353
0112, 26, 604
23.23076923076923
1186, 63, 1477
23.444444444444443
1346, 32, 1294
40.4375
0114, 31, 872
28.129032258064516
0511, 49, 1781
36.3469387755102
0407, 26, 1300
50.0
1171, 39, 1042
26.71794871794872
0194, 17, 448
26.352941176470587
0017, 50, 1328
26.56
1570, 27, 534
19.77777777777778
0609, 62, 1954
31.516129032258064
1358, 110, 1268
11.527272727272727
0796, 20, 646
32.3
0060, 77, 913
11.857142857142858
1223, 28, 378
13.5
0768, 43, 552
12.837209302325581
0574, 38, 665
17.5
0536, 25, 678
27.12
1344, 83, 3157
38.036144578313255
0566, 26, 877
33.73076923076923
0135, 16, 480
30.0
0455, 48, 2508
52.25
1454, 75, 2271
30.28
0465, 26, 1300
50.0
1380, 32, 1193
37.28125
1495, 252, 1023
4.059523809523809
1426, 41, 1612
39.31707317073171
1011, 17, 448
26.352941176470587
1060, 48, 1128
23.5
1370, 28, 1053
37.607142857142854
1093, 18, 612
34.0
0671, 32, 1294
40.4375
1444, 64, 882
13.78125
0167, 54, 1962
36.333333333333336
0404, 43, 1283
29.837209302325583
0764, 22, 681
30.954545454545453
0030, 39, 1446
37.07692307692308
1395, 8, 112
14.0
[0, 1, 2, 2, 3, 4, 5, 5, 6, 6, 7, 7, 0, 3, 1, 4]
1394, 16, 480
30.0
1172, 14, 364
26.0
[0, 1, 2, 2, 3, 4, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 7, 12, 10, 0, 11, 1, 9, 8, 5, 3, 6]
0747, 112, 1968
17.571428571428573
0082, 118, 1898
16.084745762711865
0965, 77, 913
11.857142857142858
0707, 64, 2492
38.9375
0029, 34, 1001
29.441176470588236
0047, 20, 541
27.05
0117, 67, 1703
25.417910447761194
1563, 33, 463
14.030303030303031
0852, 60, 1371
22.85
1108, 83, 1243
14.975903614457831
0376, 54, 1122
20.77777777777778
0287, 32, 374
11.6875
0811, 40, 1338
33.45
1086, 55, 2430
44.18181818181818
1191, 56, 1835
32.767857142857146
1357, 61, 719
11.78688524590164
1256, 20, 760
38.0
0314, 13, 312
24.0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 10, 11, 11, 12, 7, 5, 9, 8, 4, 3, 1, 6, 2, 12, 0]
0321, 89, 1864
20.9438202247191
1341, 21, 840
40.0
0215, 26, 569
21.884615384615383
0206, 72, 2484
34.5
1255, 46, 944
20.52173913043478
0470, 33, 1293
39.18181818181818
0250, 39, 2736
70.15384615384616
0736, 66, 1419
21.5
1208, 47, 1331
28.319148936170212
0384, 43, 363
8.44186046511628
0415, 74, 3412
46.108108108108105
0817, 18, 612
34.0
0013, 26, 569
21.884615384615383
0501, 18, 510
28.333333333333332
0497, 33, 1095
33.18181818181818
1263, 22, 924
42.0
0988, 60, 1425
23.75
1559, 55, 1121
20.381818181818183
1002, 52, 2294
44.11538461538461
0418, 130, 2645
20.346153846153847
1462, 59, 1894
32.101694915254235
0787, 56, 2024
36.142857142857146
1017, 25, 605
24.2
0170, 38, 1447
38.078947368421055
0926, 22, 681
30.954545454545453
0962, 27, 1008
37.333333333333336
0045, 31, 959
30.93548387096774
1022, 33, 1002
30.363636363636363
0775, 36, 630
17.5
0797, 27, 351
13.0
1277, 54, 2872
53.18518518518518
0553, 41, 1184
28.878048780487806
1051, 31, 1347
43.45161290322581
0361, 67, 1644
24.53731343283582
1303, 49, 1226
25.020408163265305
1146, 140, 806
5.757142857142857
1438, 34, 869
25.558823529411764
0909, 54, 849
15.722222222222221
0951, 16, 390
24.375
0330, 37, 1139
30.783783783783782
0367, 60, 1371
22.85
0708, 15, 420
28.0
[0, 0, 1, 1, 2, 2, 3, 4, 5, 5, 6, 7, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 14, 6, 3, 12, 13, 11, 8, 4]
1194, 64, 1952
30.5
0378, 25, 795
31.8
1308, 45, 231
5.133333333333334
0067, 23, 880
38.26086956521739
0351, 65, 755
11.615384615384615
0044, 36, 1045
29.02777777777778
0578, 23, 572
24.869565217391305
0471, 37, 1503
40.62162162162162
1536, 52, 1223
23.51923076923077
1193, 84, 819
9.75
1222, 71, 1699
23.929577464788732
0223, 94, 2534
26.95744680851064
0327, 64, 1421
22.203125
1216, 45, 945
21.0
0600, 51, 984
19.294117647058822
0035, 90, 2760
30.666666666666668
1313, 21, 720
34.285714285714285
1527, 70, 2705
38.642857142857146
0840, 52, 2433
46.78846153846154
0232, 18, 612
34.0
1033, 49, 3437
70.14285714285714
1300, 68, 2417
35.544117647058826
1493, 78, 2478
31.76923076923077
0906, 99, 2827
28.555555555555557
1187, 80, 3241
40.5125
0948, 58, 1070
18.448275862068964
0543, 46, 3870
84.1304347826087
0388, 11, 220
20.0
[0, 1, 2, 2, 3, 3, 4, 4, 5, 6, 7, 8, 8, 9, 10, 6, 1, 5, 0, 9, 7, 10]
0448, 245, 1133
4.624489795918367
1266, 26, 877
33.73076923076923
0359, 23, 757
32.91304347826087
0505, 68, 673
9.897058823529411
0851, 33, 913
27.666666666666668
1387, 32, 598
18.6875
1354, 58, 2357
40.63793103448276
1232, 35, 1190
34.0
0355, 59, 1319
22.35593220338983
1162, 24, 1104
46.0
1307, 69, 2934
42.52173913043478
1352, 27, 1101
40.77777777777778
1258, 26, 409
15.73076923076923
0084, 51, 1602
31.41176470588235
0111, 27, 1101
40.77777777777778
1110, 84, 2691
32.035714285714285
0239, 16, 309
19.3125
0683, 63, 927
14.714285714285714
0628, 86, 2329
27.08139534883721
1543, 48, 1128
23.5
0252, 25, 678
27.12
0469, 37, 998
26.972972972972972
1024, 481, 647
1.345114345114345
0946, 23, 1012
44.0
1007, 78, 450
5.769230769230769
0265, 44, 1972
44.81818181818182
0750, 24, 756
31.5
0669, 88, 815
9.261363636363637
1015, 51, 2875
56.372549019607845
1422, 19, 684
36.0
0725, 14, 217
15.5
[0, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 6, 7, 7, 7, 8, 9, 9, 8, 3, 0, 5]
0240, 118, 2367
20.059322033898304
1059, 50, 1381
27.62
0657, 40, 950
23.75
0823, 32, 1193
37.28125
0150, 65, 1160
17.846153846153847
1114, 27, 639
23.666666666666668
0974, 14, 286
20.428571428571427
[0, 0, 1, 2, 2, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 11, 5, 1, 11, 10, 4, 3]
1514, 74, 1879
25.39189189189189
0202, 47, 2231
47.46808510638298
1408, 22, 924
42.0
0105, 70, 2208
31.542857142857144
0309, 36, 744
20.666666666666668
1320, 20, 760
38.0
0249, 25, 1200
48.0
1034, 114, 2889
25.342105263157894
0936, 28, 1053
37.607142857142854
0484, 96, 807
8.40625
0930, 37, 2664
72.0
0268, 40, 821
20.525
0216, 27, 501
18.555555555555557
0626, 12, 264
22.0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 6, 10, 7, 1, 2, 5, 3, 4, 8, 0, 11, 9]
1360, 44, 1726
39.22727272727273
0860, 46, 900
19.565217391304348
1482, 76, 1302
17.13157894736842
1182, 27, 534
19.77777777777778
0794, 41, 2039
49.73170731707317
1211, 35, 631
18.02857142857143
0452, 148, 842
5.6891891891891895
0830, 35, 1046
29.885714285714286
0289, 53, 982
18.528301886792452
1152, 37, 1091
29.486486486486488
0437, 42, 778
18.523809523809526
0834, 21, 609
29.0
0640, 66, 1312
19.87878787878788
1165, 103, 1437
13.951456310679612
0847, 27, 1404
52.0
0818, 31, 1860
60.0
1112, 52, 1601
30.78846153846154
0155, 33, 1563
47.36363636363637
0748, 15, 420
28.0
[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 3, 1, 10, 12, 7, 5, 13, 14, 11, 2, 6, 4, 8, 9]
0735, 57, 1773
31.105263157894736
0932, 44, 902
20.5
1163, 17, 544
32.0
0907, 27, 1404
52.0
0729, 29, 917
31.620689655172413
0837, 24, 966
40.25
0396, 55, 2090
38.0
1416, 37, 1289
34.83783783783784
1547, 28, 962
34.357142857142854
0500, 33, 432
13.090909090909092
1045, 18, 192
10.666666666666666
0441, 28, 1100
39.285714285714285
1427, 134, 2144
16.0
0844, 21, 609
29.0
0523, 86, 2399
27.8953488372093
1350, 40, 740
18.5
0023, 53, 1325
25.0
1437, 88, 1508
17.136363636363637
0672, 11, 220
20.0
[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 9, 10, 10, 6, 7, 1, 9, 4, 0, 5, 3, 2]
0777, 25, 570
22.8
0142, 150, 2625
17.5
0947, 49, 854
17.428571428571427
0329, 13, 312
24.0
[0, 1, 2, 3, 4, 5, 6, 6, 7, 8, 8, 9, 10, 10, 11, 12, 12, 11, 5, 7, 4, 3, 0, 1, 9, 2]
